# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Apr 10 16:34:26 2025
# Radiative transfer took 0.916 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CO2 N2 CO O2 SO2 H2O O3  Rayleigh CIA
5.894541672e-01 5.46014e-04 9.98522e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.87688e-01 9.99999e-01 5.53710e-04 9.99845e-01
5.924014380e-01 6.36951e-04 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.92137e-01 9.99999e-01 6.42112e-04 9.99822e-01
5.953634452e-01 7.35541e-04 9.99917e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.90903e-01 9.99999e-01 7.42452e-04 9.99867e-01
5.983402624e-01 8.49273e-04 9.99772e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.92400e-01 9.99999e-01 8.56013e-04 9.99948e-01
6.013319637e-01 9.79057e-04 9.99513e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.95287e-01 9.99999e-01 9.84173e-04 9.99991e-01
6.043386235e-01 1.12450e-03 9.98793e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97734e-01 9.99999e-01 1.12841e-03 9.99998e-01
6.073603167e-01 1.28548e-03 9.97246e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99018e-01 9.99999e-01 1.29029e-03 9.99999e-01
6.103971182e-01 1.46849e-03 9.98377e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99578e-01 9.99999e-01 1.47149e-03 9.99999e-01
6.134491038e-01 1.67292e-03 9.99652e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99827e-01 9.99999e-01 1.67379e-03 9.99999e-01
6.165163494e-01 1.89552e-03 9.98190e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99939e-01 9.99999e-01 1.89907e-03 9.99999e-01
6.195989311e-01 2.14895e-03 9.99886e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99953e-01 9.99999e-01 2.14930e-03 9.99999e-01
6.226969258e-01 2.42446e-03 9.99255e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99881e-01 9.99999e-01 2.42655e-03 9.99999e-01
6.258104104e-01 2.72996e-03 9.99908e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98975e-01 9.99999e-01 2.73302e-03 9.99992e-01
6.289394624e-01 3.05991e-03 9.97472e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98943e-01 9.99999e-01 3.07097e-03 9.99976e-01
6.320841597e-01 3.43415e-03 9.98640e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98869e-01 9.99999e-01 3.44277e-03 9.99979e-01
6.352445805e-01 3.84706e-03 9.99958e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99062e-01 9.99999e-01 3.85088e-03 9.99985e-01
