# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Apr 11 19:13:24 2025
# Radiative transfer took 0.968 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CO2 N2 CO O2 SO2 H2O O3  Rayleigh CIA
5.894541672e-01 6.27136e-04 9.98580e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.87932e-01 9.99999e-01 6.35782e-04 9.99845e-01
5.924014380e-01 7.29513e-04 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.92331e-01 9.99999e-01 7.35277e-04 9.99826e-01
5.953634452e-01 8.40149e-04 9.99905e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.91074e-01 9.99999e-01 8.47904e-04 9.99869e-01
5.983402624e-01 9.67548e-04 9.99781e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.92583e-01 9.99999e-01 9.75033e-04 9.99952e-01
6.013319637e-01 1.11255e-03 9.99559e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.95442e-01 9.99999e-01 1.11813e-03 9.99992e-01
6.043386235e-01 1.27443e-03 9.98784e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97814e-01 9.99999e-01 1.27877e-03 9.99998e-01
6.073603167e-01 1.45334e-03 9.97316e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99054e-01 9.99999e-01 1.45862e-03 9.99999e-01
6.103971182e-01 1.65616e-03 9.98430e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99595e-01 9.99999e-01 1.65944e-03 9.99999e-01
6.134491038e-01 1.88214e-03 9.99658e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99832e-01 9.99999e-01 1.88310e-03 9.99999e-01
6.165163494e-01 2.12764e-03 9.98210e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99942e-01 9.99999e-01 2.13158e-03 9.99999e-01
6.195989311e-01 2.40654e-03 9.99876e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99953e-01 9.99999e-01 2.40694e-03 9.99999e-01
6.226969258e-01 2.70909e-03 9.99282e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99876e-01 9.99999e-01 2.71137e-03 9.99999e-01
6.258104104e-01 3.04359e-03 9.99898e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98950e-01 9.99999e-01 3.04712e-03 9.99992e-01
6.289394624e-01 3.40463e-03 9.97528e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98998e-01 9.99999e-01 3.41656e-03 9.99977e-01
6.320841597e-01 3.81250e-03 9.98613e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98877e-01 9.99999e-01 3.82214e-03 9.99980e-01
6.352445805e-01 4.26238e-03 9.99989e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99080e-01 9.99999e-01 4.26640e-03 9.99986e-01
6.384208035e-01 4.74590e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98727e-01 9.99999e-01 4.75197e-03 9.99993e-01
6.416129075e-01 5.27193e-03 9.99550e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98630e-01 9.99999e-01 5.28155e-03 9.99994e-01
6.448209720e-01 5.82235e-03 9.98432e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.95491e-01 9.99999e-01 5.85791e-03 9.99973e-01
6.480450769e-01 6.42389e-03 9.99673e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.91174e-01 9.99999e-01 6.48388e-03 9.99888e-01
6.512853022e-01 7.08799e-03 9.96158e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.93525e-01 9.99999e-01 7.16237e-03 9.99887e-01
6.545417288e-01 7.77493e-03 9.90252e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.94349e-01 9.99999e-01 7.89632e-03 9.99914e-01
6.578144374e-01 8.50167e-03 9.84609e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.93774e-01 9.99999e-01 8.68872e-03 9.99959e-01
6.611035096e-01 9.42934e-03 9.91481e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96615e-01 9.99999e-01 9.54259e-03 9.99990e-01
6.644090271e-01 1.03918e-02 9.95523e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97847e-01 9.99999e-01 1.04610e-02 9.99995e-01
6.677310723e-01 1.14288e-02 9.99384e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99026e-01 9.99999e-01 1.14470e-02 9.99998e-01
6.710697276e-01 1.24875e-02 9.99176e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99531e-01 9.99999e-01 1.25037e-02 9.99999e-01
6.744250763e-01 1.36309e-02 9.99990e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99778e-01 9.99999e-01 1.36341e-02 9.99999e-01
6.777972017e-01 1.48381e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99785e-01 9.99999e-01 1.48413e-02 9.99999e-01
6.811861877e-01 1.61181e-02 9.99853e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99516e-01 9.99999e-01 1.61283e-02 9.99997e-01
6.845921186e-01 1.74632e-02 9.98545e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99457e-01 9.99999e-01 1.74982e-02 9.99994e-01
6.880150792e-01 1.89374e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99135e-01 9.99999e-01 1.89539e-02 9.99990e-01
6.914551546e-01 2.02012e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.85568e-01 9.99999e-01 2.04983e-02 9.99932e-01
6.949124304e-01 2.17057e-02 9.99471e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.81395e-01 9.99999e-01 2.21343e-02 9.99743e-01
6.983869925e-01 2.36028e-02 9.98477e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.90714e-01 9.99999e-01 2.38647e-02 9.99763e-01
7.018789275e-01 2.52784e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.84107e-01 9.99999e-01 2.56920e-02 9.99787e-01
7.053883221e-01 2.72460e-02 9.99926e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.86671e-01 9.99999e-01 2.76191e-02 9.99888e-01
7.089152637e-01 2.89668e-02 9.89554e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.87299e-01 9.99999e-01 2.96482e-02 9.99941e-01
7.124598400e-01 3.05616e-02 9.74628e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.86640e-01 9.99999e-01 3.17820e-02 9.99929e-01
7.160221392e-01 2.87682e-02 9.36153e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 8.99569e-01 9.99999e-01 3.40225e-02 9.99505e-01
7.196022499e-01 3.12188e-02 9.49084e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.04024e-01 9.99999e-01 3.63720e-02 9.98519e-01
7.232002612e-01 3.51797e-02 9.76213e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.28493e-01 9.99999e-01 3.88326e-02 9.98713e-01
7.268162625e-01 3.78233e-02 9.90179e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.23296e-01 9.99999e-01 4.14060e-02 9.98837e-01
7.304503438e-01 4.01805e-02 9.96230e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.15163e-01 9.99999e-01 4.40940e-02 9.99343e-01
7.341025955e-01 4.46728e-02 9.99526e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.53187e-01 9.99999e-01 4.68982e-02 9.99788e-01
7.377731085e-01 4.80335e-02 9.99893e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.64340e-01 9.99999e-01 4.98200e-02 9.99893e-01
7.414619740e-01 5.17597e-02 9.98586e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.80545e-01 9.99999e-01 5.28608e-02 9.99973e-01
7.451692839e-01 5.54379e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.89586e-01 9.99999e-01 5.60215e-02 9.99995e-01
7.488951303e-01 5.89856e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.94646e-01 9.99999e-01 5.93032e-02 9.99998e-01
7.526396060e-01 6.25641e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97728e-01 9.99999e-01 6.27065e-02 9.99998e-01
7.564028040e-01 6.61515e-02 9.99845e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98935e-01 9.99999e-01 6.62321e-02 9.99999e-01
7.601848180e-01 6.97118e-02 9.98016e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99566e-01 9.99999e-01 6.98804e-02 9.99999e-01
7.639857421e-01 7.36356e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99781e-01 9.99999e-01 7.36516e-02 9.99999e-01
7.678056708e-01 7.75340e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99846e-01 9.99999e-01 7.75458e-02 9.99999e-01
7.716446992e-01 8.15309e-02 9.99736e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99870e-01 9.99999e-01 8.15628e-02 9.99999e-01
7.755029227e-01 8.54960e-02 9.97770e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99818e-01 9.99999e-01 8.57024e-02 9.99999e-01
7.793804373e-01 8.87499e-02 9.87310e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99162e-01 9.99999e-01 8.99641e-02 9.99998e-01
7.832773395e-01 5.62773e-02 5.98235e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96278e-01 9.99999e-01 9.43472e-02 9.99994e-01
7.871937262e-01 6.64679e-02 6.78788e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.89918e-01 9.99999e-01 9.88509e-02 9.99953e-01
7.911296948e-01 8.24942e-02 8.02652e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.92805e-01 9.99999e-01 1.03474e-01 9.99874e-01
7.950853433e-01 9.34622e-02 8.69425e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.93119e-01 9.99999e-01 1.08216e-01 9.99878e-01
7.990607700e-01 1.06313e-01 9.52056e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.87546e-01 9.99999e-01 1.13075e-01 9.99873e-01
8.030560739e-01 1.15771e-01 9.93007e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.87696e-01 9.99999e-01 1.18050e-01 9.99884e-01
8.070713542e-01 1.20536e-01 9.98079e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.80817e-01 9.99999e-01 1.23139e-01 9.99916e-01
8.111067110e-01 1.18511e-01 9.98639e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.24839e-01 9.99999e-01 1.28340e-01 9.99779e-01
8.151622446e-01 1.14276e-01 9.96009e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 8.58525e-01 9.99999e-01 1.33651e-01 9.98963e-01
8.192380558e-01 1.28855e-01 9.97597e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.30258e-01 9.99999e-01 1.39071e-01 9.98265e-01
8.233342461e-01 1.28698e-01 9.98501e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 8.92581e-01 9.99999e-01 1.44597e-01 9.98546e-01
8.274509173e-01 1.39868e-01 9.97049e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.34690e-01 9.99999e-01 1.50227e-01 9.98855e-01
8.315881719e-01 1.41731e-01 9.92225e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.16296e-01 9.99999e-01 1.55959e-01 9.99353e-01
8.357461127e-01 1.50793e-01 9.98694e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.33334e-01 9.99999e-01 1.61790e-01 9.99842e-01
8.399248433e-01 1.60645e-01 9.97387e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.60377e-01 9.99999e-01 1.67716e-01 9.99936e-01
8.441244675e-01 1.69104e-01 9.94293e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.78636e-01 9.99999e-01 1.73737e-01 9.99956e-01
8.483450899e-01 1.77800e-01 9.99993e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.88646e-01 9.99999e-01 1.79848e-01 9.99971e-01
8.525868153e-01 1.84785e-01 9.99525e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.93704e-01 9.99999e-01 1.86047e-01 9.99977e-01
8.568497494e-01 1.91419e-01 9.99037e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96212e-01 9.99999e-01 1.92332e-01 9.99992e-01
8.611339981e-01 1.98184e-01 9.99964e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97449e-01 9.99999e-01 1.98697e-01 9.99998e-01
