Wavelength_um,Total_T,Planet
0.811106711,2.49701e-08,OGLE-2016-BLG-1227L_b
0.8151622446,2.49831e-08,OGLE-2016-BLG-1227L_b
0.8192380558,2.50221e-08,OGLE-2016-BLG-1227L_b
0.8233342461,2.50046e-08,OGLE-2016-BLG-1227L_b
0.8274509173,2.49954e-08,OGLE-2016-BLG-1227L_b
0.8315881719,2.49738e-08,OGLE-2016-BLG-1227L_b
0.8357461127,2.49677e-08,OGLE-2016-BLG-1227L_b
0.8399248433,2.49685e-08,OGLE-2016-BLG-1227L_b
0.8441244675,2.49685e-08,OGLE-2016-BLG-1227L_b
0.8483450899,2.49677e-08,OGLE-2016-BLG-1227L_b
0.8525868153,2.49674e-08,OGLE-2016-BLG-1227L_b
0.8568497494,2.49668e-08,OGLE-2016-BLG-1227L_b
0.8611339981,2.49667e-08,OGLE-2016-BLG-1227L_b
0.8654396681,2.49666e-08,OGLE-2016-BLG-1227L_b
0.8697668665,2.49701e-08,OGLE-2016-BLG-1227L_b
0.8741157008,2.49692e-08,OGLE-2016-BLG-1227L_b
0.8784862793,2.49713e-08,OGLE-2016-BLG-1227L_b
0.8828787107,2.50191e-08,OGLE-2016-BLG-1227L_b
0.8872931042,2.50355e-08,OGLE-2016-BLG-1227L_b
0.8917295698,2.50082e-08,OGLE-2016-BLG-1227L_b
0.8961882176,2.50123e-08,OGLE-2016-BLG-1227L_b
0.9006691587,2.50445e-08,OGLE-2016-BLG-1227L_b
0.9051725045,2.50024e-08,OGLE-2016-BLG-1227L_b
0.909698367,2.50205e-08,OGLE-2016-BLG-1227L_b
0.9142468589,2.50045e-08,OGLE-2016-BLG-1227L_b
0.9188180931,2.49905e-08,OGLE-2016-BLG-1227L_b
0.9234121836,2.49847e-08,OGLE-2016-BLG-1227L_b
0.9280292445,2.49826e-08,OGLE-2016-BLG-1227L_b
0.9326693908,2.50876e-08,OGLE-2016-BLG-1227L_b
0.9373327377,2.51878e-08,OGLE-2016-BLG-1227L_b
0.9420194014,2.51367e-08,OGLE-2016-BLG-1227L_b
0.9467294984,2.51091e-08,OGLE-2016-BLG-1227L_b
0.9514631459,2.50744e-08,OGLE-2016-BLG-1227L_b
0.9562204616,2.5013e-08,OGLE-2016-BLG-1227L_b
0.9610015639,2.50246e-08,OGLE-2016-BLG-1227L_b
0.9658065718,2.50279e-08,OGLE-2016-BLG-1227L_b
0.9706356046,2.49948e-08,OGLE-2016-BLG-1227L_b
0.9754887826,2.50018e-08,OGLE-2016-BLG-1227L_b
0.9803662265,2.49761e-08,OGLE-2016-BLG-1227L_b
0.9852680577,2.4971e-08,OGLE-2016-BLG-1227L_b
0.990194398,2.49731e-08,OGLE-2016-BLG-1227L_b
0.99514537,2.49722e-08,OGLE-2016-BLG-1227L_b
1.000121097,2.49723e-08,OGLE-2016-BLG-1227L_b
1.005121702,2.49724e-08,OGLE-2016-BLG-1227L_b
1.010147311,2.49731e-08,OGLE-2016-BLG-1227L_b
1.015198047,2.49719e-08,OGLE-2016-BLG-1227L_b
1.020274038,2.497e-08,OGLE-2016-BLG-1227L_b
1.025375408,2.49683e-08,OGLE-2016-BLG-1227L_b
1.030502285,2.49671e-08,OGLE-2016-BLG-1227L_b
1.035654796,2.49664e-08,OGLE-2016-BLG-1227L_b
1.04083307,2.49661e-08,OGLE-2016-BLG-1227L_b
